Ticker;Name;Industry;Sub Industry;Headquarters Location;Date added
PSX;Phillips 66;Energy;Oil & Gas Refining & Marketing;Houston, Texas;2012
PTC;PTC;Information Technology;Application Software;Boston, Massachusetts;2021
PWR;Quanta Services;Industrials;Construction & Engineering;Houston, Texas;2009
PXD;Pioneer Natural Resources;Energy;Oil & Gas Exploration & Production;Irving, Texas;2008
PYPL;PayPal;Information Technology;Data Processing & Outsourced Services;San Jose, California;2015
QRVO;Qorvo;Information Technology;Semiconductors;Greensboro, North Carolina;2015
RCL;Royal Caribbean Group;Consumer Discretionary;Hotels  Resorts & Cruise Lines;Miami  Florida;2014
RE;Everest Re;Financials;Reinsurance;Hamilton, Bermuda;2017
REG;Regency Centers;Real Estate;Retail REITs;Jacksonville, †Florida;2017
REGN;Regeneron;Health Care;Biotechnology;Tarrytown, New York;2013
RF;Regions Financial Corporation;Financials;Regional Banks;Birmingham, Alabama;1998
RHI;Robert Half;Industrials;Human Resource & Employment Services;Menlo Park, California;2000
RJF;Raymond James;Financials;Investment Banking & Brokerage;St  Petersburg, Florida;2017
RL;Ralph Lauren Corporation;Consumer Discretionary;Apparel  Accessories & Luxury Goods;New York City  New York;2007
RMD;ResMed;Health Care;Health Care Equipment;San Diego, California;2017
ROL;Rollins Inc;Industrials;Environmental & Facilities Services;Atlanta, Georgia;2018
ROP;Roper Technologies;Information Technology;Electronic Equipment & Instruments;Sarasota, Florida;2009
ROST;Ross Stores;Consumer Discretionary;Apparel Retail;Dublin, California;2009
RSG;Republic Services;Industrials;Environmental & Facilities Services;Phoenix, Arizona;2008
SBAC;SBA Communications;Real Estate;Specialized REITs;Boca Raton, Florida;2017
SBNY;Signature Bank;Financials;Regional Banks;New York City, New York;2021
SBUX;Starbucks;Consumer Discretionary;Restaurants;Seattle, Washington;2000
SCHW;Charles Schwab Corporation;Financials;Investment Banking & Brokerage;Westlake, Texas;1997
SEDG;SolarEdge;Information Technology;Semiconductor Equipment;Herzliya, Israel;2021
SEE;Sealed Air;Materials;Paper Packaging;Charlotte, North Carolina;1957
SHW;Sherwin Williams;Materials;Specialty Chemicals;Cleveland, Ohio;1964
SIVB;SVB Financial;Financials;Regional Banks;Santa Clara, California;2018
SJM;The JM Smucker Company;Consumer Staples;Packaged Foods & Meats;Orrville, Ohio;2008
SLB;Schlumberger;Energy;Oil & Gas Equipment & Services;Cura√ßao, †Kingdom of the Netherlands;1965
SNA;Snap on;Industrials;Industrial Machinery;Kenosha, Wisconsin;1982
SNPS;Synopsys;Information Technology;Application Software;Mountain View, California;2017
SO;Southern Company;Utilities;Electric Utilities;Atlanta, Georgia;1957
SPG;Simon Property Group;Real Estate;Retail REITs;Indianapolis, Indiana;2002
STE;Steris;Health Care;Health Care Equipment;Dublin, Ireland;2019
STLD;Steel Dynamics;Materials;Steel;Fort Wayne, Indiana;2022
STX;Seagate Technology;Information Technology;Technology Hardware  Storage & Peripherals;Dublin  Ireland;2012
STZ;Constellation Brands;Consumer Staples;Distillers & Vintners;Victor, New York;2005
SWK;Stanley Black & Decker;Industrials;Industrial Machinery;New Britain, Connecticut;1982
SWKS;Skyworks Solutions;Information Technology;Semiconductors;Irvine, California;2015
SYF;Synchrony Financial;Financials;Consumer Finance;Stamford, Connecticut;2015
SYK;Stryker Corporation;Health Care;Health Care Equipment;Kalamazoo, Michigan;2000
SYY;Sysco;Consumer Staples;Food Distributors;Houston, Texas;1986
T;AT&T;Communication Services;Integrated Telecommunication Services;Dallas, Texas;1983
TAP;Molson Coors Beverage Company;Consumer Staples;Brewers;Chicago, Illinois;1976
TDG;TransDigm Group;Industrials;Aerospace & Defense;Cleveland, Ohio;2016
TDY;Teledyne Technologies;Information Technology;Electronic Equipment & Instruments;Thousand Oaks, California;2020
