Name,Industry,Sub Industry,Headquarters Location,Date added,,,
Dish Network,1,Cable & Satellite,Meridian, Colorado,2017,,,
Digital Realty,11,Specialized REITs,Austin, Texas,2016,,,
Dollar Tree,2,General Merchandise Stores,Chesapeake, Virginia,2011,,,
Dover Corporation,8,Industrial Machinery,Downers Grove, Illinois,1985,,,
Dow Inc,10,Commodity Chemicals,Midland, Michigan,2019,,,
Domino s,2,Restaurants,Ann Arbor, Michigan,2020,,,
DTE Energy,12,Multi Utilities,Detroit, Michigan,1957,,,
Duke Energy,12,Electric Utilities,Charlotte, North Carolina,1976,,,
DaVita Inc,7,Health Care Facilities,Denver, Colorado,2008,,,
Devon Energy,4,Oil & Gas Exploration & Production,Oklahoma City, Oklahoma,2000,,,
DXC Technology,9,IT Consulting & Other Services,Tysons Corner, Virginia,2017,,,
Dexcom,7,Health Care Equipment,San Diego, California,2020,,,
Electronic Arts,1,Interactive Home Entertainment,Redwood City, California,2002,,,
eBay,2,Internet & Direct Marketing Retail,San Jose, California,2002,,,
Ecolab,10,Specialty Chemicals,Saint Paul, Minnesota,1989,,,
Equifax,8,Research & Consulting Services,Atlanta, Georgia,1997,,,
Edison International,12,Electric Utilities,Rosemead, California,1957,,,
The Esta e Lauder Companies,5,Personal Products,New York City, New York,2006,,,
Elevance Health,7,Managed Health Care,Indianapolis, Indiana,2002,,,
Eastman Chemical Company,10,Diversified Chemicals,Kingsport, Tennessee,1994,,,
Emerson Electric,8,Electrical Components & Equipment,Ferguson, Missouri,1965,,,
Enphase,9,Electronic Components,Fremont, California,2021,,,
EOG Resources,4,Oil & Gas Exploration & Production,Houston, Texas,2000,,,
EPAM Systems,9,IT Consulting & Other Services,Newtown, Pennsylvania,2021,,,
Equinix,11,Specialized REITs,Redwood City, California,2015,,,
Equity Residential,11,Residential REITs,Chicago, Illinois,2001,,,
EQT,4,Oil & Gas Exploration & Production,Pittsburgh, Pennsylvania,2022,,,
Essex Property Trust,11,Residential REITs,San Mateo, California,2014,,,
Entergy,12,Electric Utilities,New Orleans, Louisiana,1957,,,
Etsy,2,Internet & Direct Marketing Retail,New York City, New York,2020,,,
Evergy,12,Electric Utilities,Kansas City, Missouri,2018,,,
Edwards Lifesciences,7,Health Care Equipment,Irvine, California,2011,,,
Exelon,12,Multi Utilities,Chicago, Illinois,1957,,,
Expeditors International,8,Air Freight & Logistics,Seattle, Washington,2007,,,
Expedia Group,2,Internet & Direct Marketing Retail,Seattle, Washington,2007,,,
Extra Space Storage,11,Specialized REITs,Salt Lake City, Utah,2016,,,
Ford Motor Company,2,Automobile Manufacturers,Dearborn, Michigan,1957,,,
Diamondback Energy,4,Oil & Gas Exploration & Production,Midland, Texas,2018,,,
Fastenal,8,Building Products,Winona, Minnesota,2008,,,
FactSet,6,Financial Exchanges & Data,Norwalk, Connecticut,2021,,,
FedEx,8,Air Freight & Logistics,Memphis, Tennessee,1980,,,
F5 Inc,9,Communications Equipment,Seattle, Washington,2010,,,
FIS,9,Data Processing & Outsourced Services,Jacksonville, Florida,2006,,,
Fiserv,9,Data Processing & Outsourced Services,Brookfield, Wisconsin,2001,,,
Fleetcor,9,Data Processing & Outsourced Services,Atlanta, Georgia,2018,,,
FMC Corporation,10,Fertilizers & Agricultural Chemicals,Philadelphia, Pennsylvania,2009,,,
Fox Corporation Class B,1,Movies & Entertainment,New York City, New York,2015,,,
Fox Corporation Class A,1,Movies & Entertainment,New York City, New York,2013,,,
First Republic Bank,6,Regional Banks,San Francisco, California,2019,,,
Federal Realty,11,Retail REITs,Rockville, Maryland,2016,,,
First Solar,9,Semiconductors,Tempe, Arizona,2022,,,
Fortinet,9,Systems Software,Sunnyvale, California,2018,,,
Fortive,8,Industrial Machinery,Everett, Washington,2016,,,
General Dynamics,8,Aerospace & Defense,Falls Church, Virginia,1957,,,
GE HealthCare,7,Health Care Technology,Chicago, Illinois,2023,,,
Gen Digital,9,Application Software,Tempe, Arizona,2003,,,
Gilead Sciences,7,Biotechnology,Foster City, California,2004,,,
General Mills,5,Packaged Foods & Meats,Golden Valley, Minnesota,1969,,,
Globe Life,6,Life & Health Insurance,McKinney, Texas,1989,,,
General Motors,2,Automobile Manufacturers,Detroit, Michigan,2013,,,
Generac,8,Electrical Components & Equipment,Waukesha, Wisconsin,2021,,,
Alphabet Inc Class C,1,Interactive Media & Services,Mountain View, California,2006,,,
Alphabet Inc Class A,1,Interactive Media & Services,Mountain View, California,2014,,,
Genuine Parts Company,2,Specialty Stores,Atlanta, Georgia,1973,,,
Global Payments,9,Data Processing & Outsourced Services,Atlanta, Georgia,2016,,,
Garmin,2,Consumer Electronics,Schaffhausen, Switzerland,2012,,,
Goldman Sachs,6,Investment Banking & Brokerage,New York City, New York,2002,,,
W W Grainger,8,Industrial Machinery,Lake Forest, Illinois,1981,,,
Halliburton,4,Oil & Gas Equipment & Services,Houston, Texas,1957,,,
Hasbro,2,Leisure Products,Pawtucket, Rhode Island,1984,,,
HCA Healthcare,7,Health Care Facilities,Nashville,  Tennessee,2015,,,
Home Depot The,2,Home Improvement Retail,Atlanta, Georgia,1988,,,
Hess Corporation,4,Integrated Oil & Gas,New York City, New York,1984,,,
Hartford The,6,Property & Casualty Insurance,Hartford, Connecticut,1957,,,
Huntington Ingalls Industries,8,Aerospace & Defense,Newport News, Virginia,2018,,,
Hilton Worldwide,2,Hotels  Resorts & Cruise Lines,Tysons Corner  Virginia,2017,,,
Hologic,7,Health Care Equipment,Marlborough, Massachusetts,2016,,,
Honeywell,8,Industrial Conglomerates,Charlotte, North Carolina,1964,,,
Hewlett Packard Enterprise,9,Technology Hardware  Storage & Peripherals,Houston  Texas,2015,,,
HP Inc,9,Technology Hardware  Storage & Peripherals,Palo Alto  California,1974,,,
Hormel Foods,5,Packaged Foods & Meats,Austin, Minnesota,2009,,,
Henry Schein,7,Health Care Distributors,Melville, New York,2015,,,
Host Hotels & Resorts,11,Hotel & Resort REITs,Bethesda, Maryland,2007,,,
Hershey s,5,Packaged Foods & Meats,Hershey, Pennsylvania,1957,,,
Howmet Aerospace,8,Aerospace & Defense,Pittsburgh, Pennsylvania,1964,,,
IBM,9,IT Consulting & Other Services,Armonk, New York,1957,,,
Intercontinental Exchange,6,Financial Exchanges & Data,Atlanta, Georgia,2007,,,
Idexx Laboratories,7,Health Care Equipment,Westbrook, Maine,2017,,,
